"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","DEG_Status","Regulation"
"DNAJB13",2.3579318389337,-0.124769328026107,4.30861756867809,3.13024707857682e-05,0.168454246533612,1.48842496969985,"Not_Significant","Upregulated_in_UC"
"HSPA1B",2.17381955098004,-1.57673061655797,3.91633119781166,0.000141747849066943,0.262430270333895,0.0734379484855472,"Not_Significant","Upregulated_in_UC"
"IGSF10",-1.08596240086168,1.72430498341799,-3.87368979379461,0.000166033869086902,0.262430270333895,0.259139926584211,"Not_Significant","Downregulated_in_UC"
"ADGRF1",1.55224038212109,0.731712396529577,3.74925434809169,0.000261574393205917,0.262430270333895,-0.129899187028977,"Not_Significant","Upregulated_in_UC"
"SYT12",1.62935069396465,0.0841051429537362,3.73922970734525,0.000271206530872153,0.262430270333895,-0.207213562449473,"Not_Significant","Upregulated_in_UC"
"ZNG1F",-1.1583947571803,3.63226338031887,-3.72260588326132,0.000287924152518261,0.262430270333895,-0.0805718564293318,"Not_Significant","Downregulated_in_UC"
"TMEM151B",-1.50900994179892,-1.96914896988575,-3.71117998821142,0.000299975537439091,0.262430270333895,-0.945755559973324,"Not_Significant","Downregulated_in_UC"
"NEURL1B",1.36401997301386,6.67855287435237,3.65328840717076,0.000368736351997994,0.264580623770294,-0.0228219024448224,"Not_Significant","Upregulated_in_UC"
"COL19A1",-1.46600414877673,1.13799393993168,-3.45937569050549,0.000723760216146506,0.341751345398732,-0.921458890426272,"Not_Significant","Downregulated_in_UC"
"SERPINA5",-1.80287669255803,0.737770981138623,-3.44209308915298,0.000767612538396247,0.341751345398732,-0.971772434339775,"Not_Significant","Downregulated_in_UC"
"PRELP",-1.10449141129815,2.96457376375606,-3.42607934399658,0.000810460405341553,0.341751345398732,-0.733147293399971,"Not_Significant","Downregulated_in_UC"
"CXCR4",-1.25757057562316,5.78784205968568,-3.42076321630622,0.000825173921597426,0.341751345398732,-0.678658197635174,"Not_Significant","Downregulated_in_UC"
"STAB2",-1.24692774149983,0.190258422598408,-3.41759159313791,0.000834071006402912,0.341751345398732,-1.09233687908551,"Not_Significant","Downregulated_in_UC"
"SLC1A2",-1.79313351356559,0.80415039496012,-3.38556754564762,0.000929086877130489,0.344819381329498,-1.16585112814309,"Not_Significant","Downregulated_in_UC"
"LONRF2",-1.12256901534689,0.46135226608297,-3.31655539962629,0.00116934971616931,0.371737163965146,-1.2908712637954,"Not_Significant","Downregulated_in_UC"
"PABPC4L",-1.02448609865812,-0.248126962159858,-3.28035212609769,0.00131750119742261,0.371737163965146,-1.65039448577289,"Not_Significant","Downregulated_in_UC"
"HBB",1.0850921082356,5.6457295705585,3.25975192277913,0.00140943928257396,0.371737163965146,-1.12601913812082,"Not_Significant","Upregulated_in_UC"
"NPPC",-1.69572410663211,-1.31559185466524,-3.23500470034297,0.00152778673854984,0.379274371825633,-1.73978399858835,"Not_Significant","Downregulated_in_UC"
"DCANP1",-1.81192207552133,-0.740369231805072,-3.20717999297571,0.00167187193857939,0.379274371825633,-1.64117718426216,"Not_Significant","Downregulated_in_UC"
"CTNNA3",-1.04932313510358,-0.542405488863663,-3.20357126023616,0.00169145868694884,0.379274371825633,-1.87658961048792,"Not_Significant","Downregulated_in_UC"
"PLA2G2D",-1.91291833644616,3.45827913675363,-3.14139672234667,0.00206425541543378,0.396742518505603,-1.48719850630668,"Not_Significant","Downregulated_in_UC"
"C4B",3.73863178460386,-0.771362040816504,3.12908645109263,0.00214656796049524,0.398336395841556,-1.70352730611663,"Not_Significant","Upregulated_in_UC"
"CNR2",-1.55434072438233,2.28333614157756,-3.10490637041819,0.00231717415975373,0.402253959377894,-1.62365890489055,"Not_Significant","Downregulated_in_UC"
"ZBED2",-1.72056824601417,-0.645583749320555,-3.03673672529124,0.00286806469291033,0.4056147486918,-2.0966288210615,"Not_Significant","Downregulated_in_UC"
"LGI2",-1.25809881804022,1.35254949827329,-3.01648757569326,0.0030536270474412,0.4056147486918,-1.8818127564154,"Not_Significant","Downregulated_in_UC"
"CNR1",-1.62408733585169,1.59735953498531,-3.01066347972233,0.00310901336499326,0.4056147486918,-1.89147543760994,"Not_Significant","Downregulated_in_UC"
"TREML2",-1.47850539959929,0.416423293597687,-2.99279397364117,0.00328478086308917,0.4056147486918,-1.96628895548935,"Not_Significant","Downregulated_in_UC"
"LSAMP",-1.12879706713408,2.85254793108462,-2.99263186310217,0.00328641648976864,0.4056147486918,-1.85583866538399,"Not_Significant","Downregulated_in_UC"
"CCL21",-1.28782064960411,6.12849766980732,-2.98474412870558,0.00336691245286982,0.4056147486918,-1.84562054696465,"Not_Significant","Downregulated_in_UC"
"EXTL1",-1.08245974360242,-1.20989211980741,-2.97514387825589,0.00346733283862956,0.4056147486918,-2.24006826353644,"Not_Significant","Downregulated_in_UC"
"MAPK15",-1.20371440494751,-1.74338376299195,-2.97473942523863,0.00347162338283234,0.4056147486918,-2.23050964861043,"Not_Significant","Downregulated_in_UC"
"PCDHAC2",-1.37389990094447,-1.18703077941846,-2.95536048811328,0.00368301655153914,0.4056147486918,-2.20018282264248,"Not_Significant","Downregulated_in_UC"
"ITIH3",-1.56032830534284,0.530454511834548,-2.93509356215568,0.00391670235456053,0.4056147486918,-2.10093667710037,"Not_Significant","Downregulated_in_UC"
"IL22RA2",-1.44029299267342,1.14027143274478,-2.88029211065519,0.00461841113502853,0.430587447874199,-2.21075065098218,"Not_Significant","Downregulated_in_UC"
"VGF",1.04093465586233,-1.43777375650546,2.81610941876793,0.0055855697014911,0.451478415557514,-2.48792926884266,"Not_Significant","Upregulated_in_UC"
