"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-1428517","R-HSA-1428517","Aerobic respiration and respiratory electron transport",161,0.507377502255161,2.33718087287789,1e-10,1.417e-07,1.417e-07,3128,"tags=59%, list=29%, signal=42%","COX17/NDUFS2/DLST/LDHA/SUCLG2/LDHC/HIGD2A/GLO1/ATP5MF/UQCRC1/COX8A/COX6A1/MDH1/NDUFC1/ETFDH/SDHAF2/UBC/MPC1/ATP5PB/MAEA/ATP5F1B/ATP5MC2/SLC25A22/SDHD/FH/VDAC1/CS/HIGD1A/NDUFB3/NDUFA5/GSTZ1/PC/NDUFA9/NDUFC2/ATP5MK/COX5B/ATP5F1C/KGD4/NDUFB1/PDK1/NDUFB5/CYCS/SDHB/NDUFA8/GOT1/NDUFB4/SDHC/PDHX/ATP5MC3/SURF1/COX18/NDUFS1/COX7C/UQCRH/MDH2/PGAM5/SIRT4/COX16/UQCRB/ISCU/CYC1/COX6C/NDUFS8/RPS27A/ACAT1/UQCRQ/TMEM177/SIRT3/MKLN1/OGDH/NDUFS4/COX7A2/COX20/NDUFB9/COX15/NDUFA2/NDUFB2/SUCLG1/TMEM126A/CMC1/NDUFB6/ISCA2/COX7A2L/NDUFS3/SLC25A13/ISCA1/COX14/ME1/SUCLA2/DMAC1/NDUFS5/SDHAF4/NDUFA10/FXN/NDUFAF2",NA
"R-HSA-611105","R-HSA-611105","Respiratory electron transport",94,0.558058523184129,2.38884052082186,1.4468541003566e-08,1.02509613010265e-05,1.02509613010265e-05,3128,"tags=62%, list=29%, signal=44%","COX17/NDUFS2/HIGD2A/UQCRC1/COX8A/COX6A1/MDH1/NDUFC1/ETFDH/SLC25A22/SDHD/HIGD1A/NDUFB3/NDUFA5/NDUFA9/NDUFC2/COX5B/NDUFB1/NDUFB5/CYCS/SDHB/NDUFA8/GOT1/NDUFB4/SDHC/SURF1/COX18/NDUFS1/COX7C/UQCRH/MDH2/COX16/UQCRB/ISCU/CYC1/COX6C/NDUFS8/UQCRQ/TMEM177/NDUFS4/COX7A2/COX20/NDUFB9/COX15/NDUFA2/NDUFB2/TMEM126A/CMC1/NDUFB6/COX7A2L/NDUFS3/SLC25A13/COX14/DMAC1/NDUFS5/NDUFA10/FXN/NDUFAF2",0.747739663149885
"R-HSA-9609507","R-HSA-9609507","Protein localization",104,0.512214558515872,2.2121280457609,5.14613518093505e-08,2.43069118379499e-05,2.43069118379499e-05,3140,"tags=52%, list=29%, signal=37%","DHRS4/COX17/PEX6/IDH1/CHCHD2/SEC61G/COQ2/PHYH/DDO/SEC61B/UBC/ATP5F1B/EHHADH/VDAC1/CS/ACOT4/SCP2/ACOT2/ECI2/CRAT/ACAA1/PITRM1/CHCHD5/SERP1/TIMM10B/CAT/PEX13/EPHX2/PXMP2/AGPS/GRPEL1/CROT/COA4/AMACR/CYC1/ACOX2/PEX7/RPS27A/GSTK1/GRPEL2/TIMM10/UBE2D2/ABCD3/CHCHD3/TOMM6/GET4/TOMM5/TOMM20/SLC25A13/GDAP1/TIMM23/PEX11B/FXN/TIMM9",0.719512826338911
"R-HSA-9033241","R-HSA-9033241","Peroxisomal protein import",42,0.635530860859678,2.29296896443416,3.07524300606081e-06,0.00108940483489704,0.00108940483489704,2266,"tags=55%, list=21%, signal=43%","DHRS4/PEX6/IDH1/PHYH/DDO/UBC/EHHADH/ACOT4/SCP2/ACOT2/ECI2/CRAT/ACAA1/CAT/PEX13/EPHX2/AGPS/CROT/AMACR/ACOX2/PEX7/RPS27A/GSTK1",0.627256739718528
"R-HSA-446203","R-HSA-446203","Asparagine N-linked glycosylation",215,0.365370339858053,1.71979350280251,7.61079897473036e-06,0.00215690042943858,0.00215690042943858,2158,"tags=37%, list=20%, signal=30%","GANAB/NEU4/RNF5/YKT6/NEU1/ARF5/RNF103/RAB1B/SEC24D/NANS/ARF4/CMAS/SLC17A5/OSTC/SAR1B/RAB1A/DYNLL1/SEL1L/COG6/GFPT1/COPG1/SYVN1/BET1L/SEC13/COPG2/AREG/SPTBN2/SEC23A/OS9/UBC/ARCN1/KDELR2/STT3A/MGAT4B/ST6GALNAC4/TMED7/SLC35C1/UAP1/TUBB2A/MAN2A1/RPN1/TMED10/RAD23B/USO1/SEC24A/EDEM3/TMEM115/COG3/COPA/B4GALT1/SEC22B/SERPINA1/GMPPA/ALG14/ALG5/COG5/ALG8/ARF1/DOLK/OST4/EDEM1/COPB2/GMDS/TFG/SLC35A1/GOLGB1/MGAT1/LMAN2L/CNIH1/GBF1/PGM3/TMED9/MGAT4A/NUS1/TUBB4B/ALG9/BET1/SEC31A/DAD1/MAN1A1",0.610526878385931
"R-HSA-1989781","R-HSA-1989781","PPARA activates gene expression",77,0.480399333055847,1.98155054636453,3.48335683090328e-05,0.00619529448260091,0.00619529448260091,2129,"tags=38%, list=20%, signal=30%","HMGCS2/RXRB/FDFT1/TNFRSF21/FABP1/G0S2/MED30/CPT1A/ALAS1/ESRRA/NPAS2/CPT2/PLIN2/FHL2/MED18/CLOCK/HMGCS1/AHRR/PPARG/APOA1/NFYA/HMGCR/GRHL1/TXNRD1/CYP4A11/RXRA/MED20/MED21/ACADM",0.557332238758646
"R-HSA-400206","R-HSA-400206","Regulation of lipid metabolism by PPARalpha",77,0.480399333055847,1.98155054636453,3.48335683090328e-05,0.00619529448260091,0.00619529448260091,2129,"tags=38%, list=20%, signal=30%","HMGCS2/RXRB/FDFT1/TNFRSF21/FABP1/G0S2/MED30/CPT1A/ALAS1/ESRRA/NPAS2/CPT2/PLIN2/FHL2/MED18/CLOCK/HMGCS1/AHRR/PPARG/APOA1/NFYA/HMGCR/GRHL1/TXNRD1/CYP4A11/RXRA/MED20/MED21/ACADM",0.557332238758646
"R-HSA-8978868","R-HSA-8978868","Fatty acid metabolism",110,0.43199938925713,1.86118875303479,3.49769624988054e-05,0.00619529448260091,0.00619529448260091,2474,"tags=45%, list=23%, signal=35%","PON2/ACOT1/ACSL5/PTGES/CPT1A/HADH/ELOVL6/HADHB/PHYH/PTGS2/PON1/AKR1C3/CPT2/ELOVL1/PRXL2B/PPARD/EHHADH/ECHS1/HADHA/FAAH/PRKAB2/ACOT4/CYP2J2/SCP2/ACOT2/ACBD7/PCCB/ACAD11/ECI2/PPT2/CRAT/MMUT/ACAA1/ACSL3/ACSL6/EPHX2/PCCA/CYP4A11/RXRA/CROT/AMACR/SLC27A3/ACADM/HPGD/ACOX2/SLC25A20/ACOT13/MCEE/MAPKAPK2/MMAA",0.557332238758646
"R-HSA-556833","R-HSA-556833","Metabolism of lipids",470,0.275075993999427,1.45016400685605,5.61044066592979e-05,0.00883332713735835,0.00883332713735835,2419,"tags=33%, list=23%, signal=27%","AGPAT1/CSNK2B/HMGCS2/PIP4K2C/RXRB/NEU4/FDFT1/LGMN/TNFRSF21/PON2/GLB1L2/GBA1/ACOT1/ACSL5/FABP1/G0S2/PTGES/MED30/NEU1/DGAT2/CPT1A/SPTLC2/HADH/ALAS1/ELOVL6/AKR1C4/SEC24D/GPD1L/ESRRA/ETNK1/PNPLA2/HADHB/SGPL1/NPAS2/HEXB/SMPD4/PHYH/PTGS2/PON1/SAR1B/LPCAT3/AKR1C1/AGPAT2/AKR1C3/HSD17B11/CPT2/ELOVL1/PLIN2/PRXL2B/B3GALT4/SEC23A/SLC44A1/PIK3R4/CDS1/INSIG2/ABHD5/PPARD/UGT8/EHHADH/ECHS1/DHCR24/FDX1/FHL2/RAB5A/HADHA/PNPLA7/MED18/FAAH/PRKAB2/ACOT4/CLOCK/SEC24A/CYP2J2/PIK3CB/PLBD1/SCP2/DHCR7/HMGCS1/ACOT2/ACBD7/PCCB/AHRR/ACAD11/ECI2/PPARG/PPT2/DDHD2/VDR/CYP51A1/RUFY1/SELENOI/LIPH/PI4K2A/CRAT/APOA1/MMUT/ASAH2/SPTSSA/ACAA1/SLC44A4/SGMS2/ARF1/ABCG2/MSMO1/INSIG1/RAB14/ORMDL2/SLC51A/SGPP2/PCYT1A/NFYA/ACSL3/HMGCR/ACSL6/EPHX2/GRHL1/PI4K2B/GPAT3/AGPS/TXNRD1/DEGS1/STARD10/PCCA/CYP4A11/GBA3/SRD5A1/RXRA/SLC44A5/CROT/MED20/ARSB/MED21/AMACR/PLPP1/SLC27A3/PPP1CC/ACADM/HPGD/PIP5K1B/MBOAT2/ACHE/ACOX2/CDK8/ACAT1/CIDEC/SLC25A20/AKR1B15/PPP1CB/CPNE3/SYNJ2/ACOT13/MGLL/MIGA1/MCEE/SUMF1/MAPKAPK2/ACAT2",0.557332238758646
"R-HSA-9711123","R-HSA-9711123","Cellular response to chemical stress",111,0.42831928987696,1.84104791828544,9.30664503311633e-05,0.0131875160119258,0.0131875160119258,2393,"tags=41%, list=22%, signal=33%","HBB/CSNK2B/IDH1/EIF2AK3/FABP1/CDKN2A/SESN2/COX8A/COX6A1/AREG/PRDX3/UBC/SOD2/TALDO1/CDKN1A/PRKCD/PSMA5/PRDX6/EGF/COX5B/TXN/PSMC6/PGD/ABCG2/CAT/CYCS/NFE2L2/ERO1A/NOX4/DPP3/PSMD1/PSMD6/PRDX1/PSMA1/COX7C/TXNRD1/RXRA/PSMB7/PSMA6/GSR/PSMC2/COX6C/TKT/RPS27A/MAFK/PDGFA",0.538434096309916
